PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
34243985,P450-driven plastic-degrading synthetic bacteria,"Yeom SJ, Le TK, Yun CH.",Trends Biotechnol. 2022 Feb;40(2):166-179. doi: 10.1016/j.tibtech.2021.06.003. Epub 2021 Jul 7.,Yeom SJ,Trends Biotechnol,2022,2021/7/10,,,10.1016/j.tibtech.2021.06.003
34175340,Plant cytochrome P450s: Role in stress tolerance and potential applications for human welfare,"Singh A, Panwar R, Mittal P, Hassan MI, Singh IK.",Int J Biol Macromol. 2021 Aug 1;184:874-886. doi: 10.1016/j.ijbiomac.2021.06.125. Epub 2021 Jun 24.,Singh A,Int J Biol Macromol,2021,2021/6/27,,,10.1016/j.ijbiomac.2021.06.125
34165748,Biofunctional significance of multi-herbal combination against paracetamol-induced hepatotoxicity in Wistar rats,"Kaur P, Shergill R, Mehta RG, Singh B, Arora S.",Environ Sci Pollut Res Int. 2021 Nov;28(43):61021-61046. doi: 10.1007/s11356-021-15019-6. Epub 2021 Jun 24.,Kaur P,Environ Sci Pollut Res Int,2021,2021/6/24,,,10.1007/s11356-021-15019-6
34150721,Multiscale Simulations on the Catalytic Plasticity of CYP76AH1,"Qiu Y, Diao H, Zheng Y, Wu R.",Front Chem. 2021 Jun 2;9:689731. doi: 10.3389/fchem.2021.689731. eCollection 2021.,Qiu Y,Front Chem,2021,2021/6/21,PMC8207200,,10.3389/fchem.2021.689731
34120382,Targeted analysis of eicosanoids derived from cytochrome P450 pathway by high-resolution multiple-reaction monitoring mass spectrometry,"Acunha T, Nardini V, Peti APF, Prado MKB, Moraes LAB, Faccioli LH.",J Mass Spectrom. 2021 Jul;56(7):e4769. doi: 10.1002/jms.4769.,Acunha T,J Mass Spectrom,2021,2021/6/13,,,10.1002/jms.4769
34117140,Effect of Genetic Polymorphism of the CYP2D6 Gene on the Efficacy and Safety of Fluvoxamine in Major Depressive Disorder,"Zastrozhin M, Skryabin V, Smirnov V, Zastrozhina A, Grishina E, Ryzhikova K, Bure I, Golovinskii P, Koporov S, Bryun E, Sychev D.",Am J Ther. 2021 Jun 3;29(1):e26-e33. doi: 10.1097/MJT.0000000000001388.,Zastrozhin M,Am J Ther,2021,2021/6/12,,,10.1097/MJT.0000000000001388
34085413,Solar-Powered Whole-Cell P450 Catalytic Platform for C-Hydroxylation Reactions,"Le TK, Kim J, Anh Nguyen N, Huong Ha Nguyen T, Sun EG, Yee SM, Kang HS, Yeom SJ, Beum Park C, Yun CH.",ChemSusChem. 2021 Aug 9;14(15):3054-3058. doi: 10.1002/cssc.202100944. Epub 2021 Jun 18.,Le TK,ChemSusChem,2021,2021/6/4,,,10.1002/cssc.202100944
34044117,Atypical kinetics of cytochrome P450 2J2: Epoxidation of arachidonic acid and reversible inhibition by xenobiotic inhibitors,"Leow JWH, Verma RK, Lim ABH, Fan H, Chan ECY.",Eur J Pharm Sci. 2021 Sep 1;164:105889. doi: 10.1016/j.ejps.2021.105889. Epub 2021 May 24.,Leow JWH,Eur J Pharm Sci,2021,2021/5/27,,,10.1016/j.ejps.2021.105889
34040527,Association of NQO2 With UDP-Glucuronosyltransferases Reduces Menadione Toxicity in Neuroblastoma Cells,"Chhour M, Perio P, Gayon R, Ternet-Fontebasso H, Ferry G, Nepveu F, Boutin JA, Sudor J, Reybier K.",Front Pharmacol. 2021 May 10;12:660641. doi: 10.3389/fphar.2021.660641. eCollection 2021.,Chhour M,Front Pharmacol,2021,2021/5/27,PMC8142080,,10.3389/fphar.2021.660641
34001620,Short-lived intermediate in N(2)O generation by P450 NO reductase captured by time-resolved IR spectroscopy and XFEL crystallography,"Nomura T, Kimura T, Kanematsu Y, Yamada D, Yamashita K, Hirata K, Ueno G, Murakami H, Hisano T, Yamagiwa R, Takeda H, Gopalasingam C, Kousaka R, Yanagisawa S, Shoji O, Kumasaka T, Yamamoto M, Takano Y, Sugimoto H, Tosha T, Kubo M, Shiro Y.",Proc Natl Acad Sci U S A. 2021 May 25;118(21):e2101481118. doi: 10.1073/pnas.2101481118.,Nomura T,Proc Natl Acad Sci U S A,2021,2021/5/18,PMC8166195,,10.1073/pnas.2101481118
33917008,"Esterase, Glutathione S-Transferase and NADPH-Cytochrome P450 Reductase Activity Evaluation in Cacopsylla pyri L. (Hemiptera: Psyllidae) Individual Adults","Bosch-Serra D, Rodríguez MA, Avilla J, Sarasúa MJ, Miarnau X.",Insects. 2021 Apr 7;12(4):329. doi: 10.3390/insects12040329.,Bosch-Serra D,Insects,2021,2021/4/30,PMC8067761,,10.3390/insects12040329
33862343,Insight into metabolism pathways of pesticide fomesafen in rice: Reducing cropping and environmental risks,"Chen ZJ, Qiao YX, Zhang N, Liu J, Yang H.",Environ Pollut. 2021 Aug 15;283:117128. doi: 10.1016/j.envpol.2021.117128. Epub 2021 Apr 12.,Chen ZJ,Environ Pollut,2021,2021/4/16,,,10.1016/j.envpol.2021.117128
33860879,Optimisation of Cytochrome P450 BM3 Assisted by Consensus-Guided Evolution,"Vincent T, Gaillet B, Garnier A.",Appl Biochem Biotechnol. 2021 Sep;193(9):2893-2914. doi: 10.1007/s12010-021-03573-1. Epub 2021 Apr 16.,Vincent T,Appl Biochem Biotechnol,2021,2021/4/16,,,10.1007/s12010-021-03573-1
33860584,Using Small Molecules to Enhance P450 OleT Enzyme Activity in Situ,"Zhang L, Ma D, Yin Y, Wang Q.",Chemistry. 2021 Jun 21;27(35):8940-8945. doi: 10.1002/chem.202100680. Epub 2021 May 21.,Zhang L,Chemistry,2021,2021/4/16,,,10.1002/chem.202100680
33851239,Biocatalytic approaches for the synthesis of optically pure vic-halohydrins,"Xue F, Li C, Xu Q.",Appl Microbiol Biotechnol. 2021 May;105(9):3411-3421. doi: 10.1007/s00253-021-11266-2. Epub 2021 Apr 13.,Xue F,Appl Microbiol Biotechnol,2021,2021/4/14,,,10.1007/s00253-021-11266-2
33784103,QM-Cluster Model Study of the Guaiacol Hydrogen Atom Transfer and Oxygen Rebound with Cytochrome P450 Enzyme GcoA,"Cheng Q, DeYonker NJ.",J Phys Chem B. 2021 Apr 8;125(13):3296-3306. doi: 10.1021/acs.jpcb.0c10761. Epub 2021 Mar 30.,Cheng Q,J Phys Chem B,2021,2021/3/30,,,10.1021/acs.jpcb.0c10761
33710358,An overview of the cytochrome P450 enzymes that catalyze the same-site multistep oxidation reactions in biotechnologically relevant selected actinomycete strains,"Iizaka Y, Sherman DH, Anzai Y.",Appl Microbiol Biotechnol. 2021 Apr;105(7):2647-2661. doi: 10.1007/s00253-021-11216-y. Epub 2021 Mar 12.,Iizaka Y,Appl Microbiol Biotechnol,2021,2021/3/12,,,10.1007/s00253-021-11216-y
33675456,Enzymatic reactions in teleocidin B biosynthesis,Awakawa T.,J Nat Med. 2021 Jun;75(3):467-474. doi: 10.1007/s11418-021-01504-2. Epub 2021 Mar 6.,Awakawa T,J Nat Med,2021,2021/3/6,PMC8159823,,10.1007/s11418-021-01504-2
33658427,"ENZYMATIC ACTIVITY IN MICROSOMES, LIPID PEROXIDATION OF MICE HEPATOCYTES UNDER THE SODIUM FLUORIDE","Kolisnyk I, Voloshin O, Savchenko I, Yanchevskyi O, Rashidi B.",Georgian Med News. 2021 Jan;(310):169-176.,Kolisnyk I,Georgian Med News,2021,2021/3/4,,,
33652317,"Metabolic activation mechanism of 2,2',3,3',6,6'-hexachlorobiphenyl (PCB136) by cytochrome P450 2B6: A QM/MM approach","Zhu L, Huo X, Zhou J, Zhang Q, Wang W.",Sci Total Environ. 2021 Jul 1;776:145579. doi: 10.1016/j.scitotenv.2021.145579. Epub 2021 Feb 4.,Zhu L,Sci Total Environ,2021,2021/3/2,,,10.1016/j.scitotenv.2021.145579
33625545,Modifications of diketopiperazines assembled by cyclodipeptide synthases with cytochrome P(450) enzymes,"Harken L, Li SM.",Appl Microbiol Biotechnol. 2021 Mar;105(6):2277-2285. doi: 10.1007/s00253-021-11178-1. Epub 2021 Feb 24.,Harken L,Appl Microbiol Biotechnol,2021,2021/2/24,PMC7954767,,10.1007/s00253-021-11178-1
33609830,Insights into enhanced biodegradation of sulfadimethoxine by catalyst: Transcriptomic responses and free radical interactions,"Zhang L, Liu Y, Zhong M, Li Z, Dong Y, Gedalanga P.",Sci Total Environ. 2021 Jun 20;774:145641. doi: 10.1016/j.scitotenv.2021.145641. Epub 2021 Feb 5.,Zhang L,Sci Total Environ,2021,2021/2/20,,,10.1016/j.scitotenv.2021.145641
33545329,Advances in enzymatic oxyfunctionalization of aliphatic compounds,"Aranda C, Carro J, González-Benjumea A, Babot ED, Olmedo A, Linde D, Martínez AT, Gutiérrez A.",Biotechnol Adv. 2021 Nov 1;51:107703. doi: 10.1016/j.biotechadv.2021.107703. Epub 2021 Feb 3.,Aranda C,Biotechnol Adv,2021,2021/2/5,,,10.1016/j.biotechadv.2021.107703
33439252,Allylic Hydroxylation Activity Is a Source of Saponin Chemodiversity in the Genus Glycyrrhiza,"Fanani MZ, Sawai S, Seki H, Ishimori M, Ohyama K, Fukushima EO, Sudo H, Saito K, Muranaka T.",Plant Cell Physiol. 2021 May 11;62(2):262-271. doi: 10.1093/pcp/pcaa173.,Fanani MZ,Plant Cell Physiol,2021,2021/1/13,,,10.1093/pcp/pcaa173
33397832,Enzymatic Characterization and Comparison of Two Steroid Hydroxylases CYP154C3-1 and CYP154C3-2 from Streptomyces Species,"Subedi P, Kim KH, Hong YS, Lee JH, Oh TJ.",J Microbiol Biotechnol. 2021 Mar 28;31(3):464-474. doi: 10.4014/jmb.2010.10020.,Subedi P,J Microbiol Biotechnol,2021,2021/1/5,PMC9705902,,10.4014/jmb.2010.10020
33344860,Altering the Regioselectivity of Cytochrome P450 BM3 Variant M13 toward Genistein through Protein Engineering and Variation of Reaction Conditions,"Hong LL, Kong JQ.",ACS Omega. 2020 Dec 2;5(49):32059-32066. doi: 10.1021/acsomega.0c05088. eCollection 2020 Dec 15.,Hong LL,ACS Omega,2020,2020/12/21,PMC7745415,,10.1021/acsomega.0c05088
33315957,Transcriptome analysis of the brown rot fungus Gloeophyllum trabeum during lignocellulose degradation,"Umezawa K, Niikura M, Kojima Y, Goodell B, Yoshida M.",PLoS One. 2020 Dec 14;15(12):e0243984. doi: 10.1371/journal.pone.0243984. eCollection 2020.,Umezawa K,PLoS One,2020,2020/12/14,PMC7735643,,10.1371/journal.pone.0243984
33283080,Molecular role of cytochrome P4501A enzymes inoxidative stress,"Stading R, Chu C, Couroucli X, Lingappan K, Moorthy B.",Curr Opin Toxicol. 2020 Apr-Jun;20-21:77-84. doi: 10.1016/j.cotox.2020.07.001. Epub 2020 Jul 24.,Stading R,Curr Opin Toxicol,2020,2020/12/7,PMC7709944,NIHMS1622806,10.1016/j.cotox.2020.07.001
33262574,Functional Measurement of CYP2C9 and CYP3A4 Allelic Polymorphism on Sildenafil Metabolism,"Tang PF, Zheng X, Hu XX, Yang CC, Chen Z, Qian JC, Cai JP, Hu GX.",Drug Des Devel Ther. 2020 Nov 24;14:5129-5141. doi: 10.2147/DDDT.S268796. eCollection 2020.,Tang PF,Drug Des Devel Ther,2020,2020/12/2,PMC7699448,,10.2147/DDDT.S268796
33243640,"Remediation of bentazone contaminated water by Trametes versicolor: Characterization, identification of transformation products, and implementation in a trickle-bed reactor under non-sterile conditions","García-Vara M, Hu K, Postigo C, Olmo L, Caminal G, Sarrà M, López de Alda M.",J Hazard Mater. 2021 May 5;409:124476. doi: 10.1016/j.jhazmat.2020.124476. Epub 2020 Nov 4.,García-Vara M,J Hazard Mater,2021,2020/11/27,,,10.1016/j.jhazmat.2020.124476
33226036,How external perturbations affect the chemoselectivity of substrate activation by cytochrome P450 OleT(JE),"Chowdhury AS , Ali HS , Faponle AS , de Visser SP .",Phys Chem Chem Phys. 2020 Dec 7;22(46):27178-27190. doi: 10.1039/d0cp05169a.,Chowdhury AS,Phys Chem Chem Phys,2020,2020/11/23,,,10.1039/d0cp05169a
33196733,Regio- and stereoselective intermolecular phenol coupling enzymes in secondary metabolite biosynthesis,"Hüttel W, Müller M.",Nat Prod Rep. 2021 May 1;38(5):1011-1043. doi: 10.1039/d0np00010h. Epub 2020 Nov 16.,Hüttel W,Nat Prod Rep,2021,2020/11/16,,,10.1039/d0np00010h
33143137,A Review of the Important Role of CYP2D6 in Pharmacogenomics,"Taylor C, Crosby I, Yip V, Maguire P, Pirmohamed M, Turner RM.",Genes (Basel). 2020 Oct 30;11(11):1295. doi: 10.3390/genes11111295.,Taylor C,Genes (Basel),2020,2020/11/4,PMC7692531,,10.3390/genes11111295
33075476,"Metabolism and biological functions of 12(S)-hydroxyheptadeca-5Z,8E,10E-trienoic acid","Okuno T, Yokomizo T.",Prostaglandins Other Lipid Mediat. 2021 Feb;152:106502. doi: 10.1016/j.prostaglandins.2020.106502. Epub 2020 Oct 16.,Okuno T,Prostaglandins Other Lipid Mediat,2021,2020/10/19,,,10.1016/j.prostaglandins.2020.106502
32996659,Enzymatic Formation of Indolactam Scaffold by C-N Bond-Forming Cytochrome P450 Oxidases in Teleocidin Biosynthesis,"Morita I, Mori T, Abe I.",Chemistry. 2021 Feb 10;27(9):2963-2972. doi: 10.1002/chem.202003899. Epub 2020 Dec 1.,Morita I,Chemistry,2021,2020/9/30,,,10.1002/chem.202003899
32955127,A Photoclick-Based High-Throughput Screening for the Directed Evolution of Decarboxylase OleT,"Markel U, Lanvers P, Sauer DF, Wittwer M, Dhoke GV, Davari MD, Schiffels J, Schwaneberg U.",Chemistry. 2021 Jan 13;27(3):954-958. doi: 10.1002/chem.202003637. Epub 2020 Dec 9.,Markel U,Chemistry,2021,2020/9/21,PMC7839715,,10.1002/chem.202003637
32923012,Electrochemical and in silico approaches for liver metabolic oxidation of antitumor-active triazoloacridinone C-1305,"Potęga A, Żelaszczyk D, Mazerska Z.",J Pharm Anal. 2020 Aug;10(4):376-384. doi: 10.1016/j.jpha.2020.03.011. Epub 2020 Mar 23.,Potęga A,J Pharm Anal,2020,2020/9/14,PMC7474135,,10.1016/j.jpha.2020.03.011
32908132,Uncovering the cytochrome P450-catalyzed methylenedioxy bridge formation in streptovaricins biosynthesis,"Sun G, Hu C, Mei Q, Luo M, Chen X, Li Z, Liu Y, Deng Z, Zhang Z, Sun Y.",Nat Commun. 2020 Sep 9;11(1):4501. doi: 10.1038/s41467-020-18336-5.,Sun G,Nat Commun,2020,2020/9/10,PMC7481197,,10.1038/s41467-020-18336-5
32879197,"CYP4F13 is the Major Enzyme for Conversion of alpha-Eleostearic Acid into cis-9, trans-11-Conjugated Linoleic Acid in Mouse Hepatic Microsomes","Wu Q, Tsuduki T.",J Oleo Sci. 2020;69(9):1061-1075. doi: 10.5650/jos.ess20080.,Wu Q,J Oleo Sci,2020,2020/9/4,,,10.5650/jos.ess20080
32822468,Interactions Between Odorants and Glutathione Transferases in the Human Olfactory Cleft,"Schwartz M, Menetrier F, Heydel JM, Chavanne E, Faure P, Labrousse M, Lirussi F, Canon F, Mannervik B, Briand L, Neiers F.",Chem Senses. 2020 Nov 7;45(8):645-654. doi: 10.1093/chemse/bjaa055.,Schwartz M,Chem Senses,2020,2020/8/22,,,10.1093/chemse/bjaa055
32748592,[Expression and characterization of a novel cytochrome P450 enzyme from Variovorax paradoxus S110],"Li C, Hou X, Guo B, Rao Y.",Sheng Wu Gong Cheng Xue Bao. 2020 Jul 25;36(7):1346-1355. doi: 10.13345/j.cjb.190533.,Li C,Sheng Wu Gong Cheng Xue Bao,2020,2020/8/5,,,10.13345/j.cjb.190533
32731542,Conformational Equilibrium of NADPH-Cytochrome P450 Oxidoreductase Is Essential for Heme Oxygenase Reaction,"Sugishima M, Taira J, Sagara T, Nakao R, Sato H, Noguchi M, Fukuyama K, Yamamoto K, Yasunaga T, Sakamoto H.",Antioxidants (Basel). 2020 Jul 28;9(8):673. doi: 10.3390/antiox9080673.,Sugishima M,Antioxidants (Basel),2020,2020/8/1,PMC7464098,,10.3390/antiox9080673
32712589,No effect of lipoic acid on catalytic activity of cytochrome P450 3A4,"Makhova AA, Shikh EV, Bulko TV, Gilep AA, Usanov SA, Shumyantseva VV.",Drug Metab Pers Ther. 2020 Jul 27;35(3). doi: 10.1515/dmpt-2020-0105.,Makhova AA,Drug Metab Pers Ther,2020,2020/7/27,,,10.1515/dmpt-2020-0105
32697953,Rapid and convenient biotransformation procedure for human drug metabolizing enzymes using permeabilized fission yeast cells,"Sharma S, Durairaj P, Bureik M.",Anal Biochem. 2020 Oct 15;607:113704. doi: 10.1016/j.ab.2020.113704. Epub 2020 Jul 19.,Sharma S,Anal Biochem,2020,2020/7/23,,,10.1016/j.ab.2020.113704
32693302,Triazoles and aromatase: The impact of copper cocktails,"Jaklová Dytrtová J, Bělonožníková K, Jakl M, Ryšlavá H.",Environ Pollut. 2020 Nov;266(Pt 1):115201. doi: 10.1016/j.envpol.2020.115201. Epub 2020 Jul 9.,Jaklová Dytrtová J,Environ Pollut,2020,2020/7/22,,,10.1016/j.envpol.2020.115201
32688126,"Camouflaged, activatable and therapeutic tandem bionanoreactors for breast cancer theranosis","Chauhan K, Sengar P, Juarez-Moreno K, Hirata GA, Vazquez-Duhalt R.",J Colloid Interface Sci. 2020 Nov 15;580:365-376. doi: 10.1016/j.jcis.2020.07.043. Epub 2020 Jul 13.,Chauhan K,J Colloid Interface Sci,2020,2020/7/21,,,10.1016/j.jcis.2020.07.043
32683510,Synthesis of cyclophosphamide metabolites by a peroxygenase from Marasmius rotula for toxicological studies on human cancer cells,"Steinbrecht S, Kiebist J, König R, Thiessen M, Schmidtke KU, Kammerer S, Küpper JH, Scheibner K.",AMB Express. 2020 Jul 18;10(1):128. doi: 10.1186/s13568-020-01064-w.,Steinbrecht S,AMB Express,2020,2020/7/20,PMC7368878,,10.1186/s13568-020-01064-w
32665247,Retinoic acid synthesis and autoregulation mediate zonal patterning of vestibular organs and inner ear morphogenesis,"Ono K, Sandell LL, Trainor PA, Wu DK.",Development. 2020 Aug 7;147(15):dev192070. doi: 10.1242/dev.192070.,Ono K,Development,2020,2020/7/16,PMC7420839,,10.1242/dev.192070
32660143,Cytological and Gene Profile Expression Analysis Reveals Modification in Metabolic Pathways and Catalytic Activities Induce Resistance in Botrytis cinerea Against Iprodione Isolated From Tomato,"Maqsood A, Wu C, Ahmar S, Wu H.",Int J Mol Sci. 2020 Jul 9;21(14):4865. doi: 10.3390/ijms21144865.,Maqsood A,Int J Mol Sci,2020,2020/7/15,PMC7402349,,10.3390/ijms21144865
32656928,Production of Propene from n-Butanol: A Three-Step Cascade Utilizing the Cytochrome P450 Fatty Acid Decarboxylase OleT(JE),"Bauer D, Zachos I, Sieber V.",Chembiochem. 2020 Nov 16;21(22):3273-3281. doi: 10.1002/cbic.202000378. Epub 2020 Aug 5.,Bauer D,Chembiochem,2020,2020/7/14,PMC7754297,,10.1002/cbic.202000378
32645272,Mechanistic studies on the drug metabolism and toxicity originating from cytochromes P450,"Jaladanki CK, Gahlawat A, Rathod G, Sandhu H, Jahan K, Bharatam PV.",Drug Metab Rev. 2020 Aug;52(3):366-394. doi: 10.1080/03602532.2020.1765792. Epub 2020 Jul 9.,Jaladanki CK,Drug Metab Rev,2020,2020/7/10,,,10.1080/03602532.2020.1765792
32551522,Unexpected Differences between Two Closely Related Bacterial P450 Camphor Monooxygenases,"Murarka VC, Batabyal D, Amaya JA, Sevrioukova IF, Poulos TL.",Biochemistry. 2020 Jul 28;59(29):2743-2750. doi: 10.1021/acs.biochem.0c00366. Epub 2020 Jul 15.,Murarka VC,Biochemistry,2020,2020/6/20,PMC7881765,NIHMS1669078,10.1021/acs.biochem.0c00366
32527525,Engineered P450 BM3 and cpADH5 coupled cascade reaction for β-oxo fatty acid methyl ester production in whole cells,"Ensari Y, de Almeida Santos G, Ruff AJ, Schwaneberg U.",Enzyme Microb Technol. 2020 Aug;138:109555. doi: 10.1016/j.enzmictec.2020.109555. Epub 2020 Apr 3.,Ensari Y,Enzyme Microb Technol,2020,2020/6/13,,,10.1016/j.enzmictec.2020.109555
32504435,Biomarker considerations in monitoring petrogenic pollution using the mussel Mytilus galloprovincialis,"Solé M, Freitas R, Viñas L, Rivera-Ingraham GA.",Environ Sci Pollut Res Int. 2020 Sep;27(25):31854-31862. doi: 10.1007/s11356-020-09427-3. Epub 2020 Jun 5.,Solé M,Environ Sci Pollut Res Int,2020,2020/6/7,,,10.1007/s11356-020-09427-3
32479814,Carisoprodol pharmacokinetics and distribution in the nucleus accumbens correlates with behavioral effects in rats independent from its metabolism to meprobamate,"Carbonaro TM, Nguyen V, Forster MJ, Gatch MB, Prokai L.",Neuropharmacology. 2020 Sep 1;174:108152. doi: 10.1016/j.neuropharm.2020.108152. Epub 2020 May 29.,Carbonaro TM,Neuropharmacology,2020,2020/6/2,PMC7465490,NIHMS1603457,10.1016/j.neuropharm.2020.108152
32460136,Recent advances in dissecting the demethylation reactions in natural product biosynthesis,"Hu D, Gao YH, Yao XS, Gao H.",Curr Opin Chem Biol. 2020 Dec;59:47-53. doi: 10.1016/j.cbpa.2020.04.014. Epub 2020 May 24.,Hu D,Curr Opin Chem Biol,2020,2020/5/28,,,10.1016/j.cbpa.2020.04.014
32391185,Substrate-Assisted Hydroxylation and O-Demethylation in the Peroxidase-like Cytochrome P450 Enzyme CYP121,"Nguyen RC, Yang Y, Wang Y, Davis I, Liu A.",ACS Catal. 2020 Jan 17;10(2):1628-1639. doi: 10.1021/acscatal.9b04596. Epub 2019 Dec 20.,Nguyen RC,ACS Catal,2020,2020/5/12,PMC7207044,NIHMS1069510,10.1021/acscatal.9b04596
32216303,Synergy between Experiments and Computations: A Green Channel for Revealing Metabolic Mechanism of Xenobiotics in Chemical Toxicology,Ji L.,Chem Res Toxicol. 2020 Jul 20;33(7):1539-1550. doi: 10.1021/acs.chemrestox.9b00448. Epub 2020 Apr 10.,Ji L,Chem Res Toxicol,2020,2020/3/29,,,10.1021/acs.chemrestox.9b00448
32214840,Sex Differences in Associations Between CYP2D6 Phenotypes and Response to Opioid Analgesics,"Lopes GS, Bielinski SJ, Moyer AM, Black Iii JL, Jacobson DJ, Jiang R, Larson NB, St Sauver JL.",Pharmgenomics Pers Med. 2020 Mar 13;13:71-79. doi: 10.2147/PGPM.S239222. eCollection 2020.,Lopes GS,Pharmgenomics Pers Med,2020,2020/3/28,PMC7081062,,10.2147/PGPM.S239222
32196091,Elaboration of the Corticosteroid Synthesis Pathway in Primates through a Multistep Enzyme,Olson-Manning CF.,Mol Biol Evol. 2020 Aug 1;37(8):2257-2267. doi: 10.1093/molbev/msaa080.,Olson-Manning CF,Mol Biol Evol,2020,2020/3/21,PMC7403617,,10.1093/molbev/msaa080
32131594,"Epoxidation Catalyzed by the Nonheme Iron(II)- and 2-Oxoglutarate-Dependent Oxygenase, AsqJ: Mechanistic Elucidation of Oxygen Atom Transfer by a Ferryl Intermediate","Li J, Liao HJ, Tang Y, Huang JL, Cha L, Lin TS, Lee JL, Kurnikov IV, Kurnikova MG, Chang WC, Chan NL, Guo Y.",J Am Chem Soc. 2020 Apr 1;142(13):6268-6284. doi: 10.1021/jacs.0c00484. Epub 2020 Mar 16.,Li J,J Am Chem Soc,2020,2020/3/6,PMC7343540,NIHMS1592934,10.1021/jacs.0c00484
32128279,Systematic metadata analysis of brown rot fungi gene expression data reveals the genes involved in Fenton's reaction and wood decay process,"Sista Kameshwar AK, Qin W.",Mycology. 2019 Dec 24;11(1):22-37. doi: 10.1080/21501203.2019.1703052. eCollection 2020.,Sista Kameshwar AK,Mycology,2019,2020/3/5,PMC7033688,,10.1080/21501203.2019.1703052
32094214,Acetaminophen-Induced Liver Injury Alters Expression and Activities of Cytochrome P450 Enzymes in an Age-Dependent Manner in Mouse Liver,"Bao Y, Wang P, Shao X, Zhu J, Xiao J, Shi J, Zhang L, Zhu HJ, Ma X, Manautou JE, Zhong XB.",Drug Metab Dispos. 2020 May;48(5):326-336. doi: 10.1124/dmd.119.089557. Epub 2020 Feb 24.,Bao Y,Drug Metab Dispos,2020,2020/2/26,PMC7153563,,10.1124/dmd.119.089557
32087054,"Dual Character of Reactive Oxygen, Nitrogen, and Halogen Species: Endogenous Sources, Interconversions and Neutralization","Moldogazieva NT, Mokhosoev IM, Mel'nikova TI, Zavadskiy SP, Kuz'menko AN, Terentiev AA.",Biochemistry (Mosc). 2020 Jan;85(Suppl 1):S56-S78. doi: 10.1134/S0006297920140047.,Moldogazieva NT,Biochemistry (Mosc),2020,2020/2/23,,,10.1134/S0006297920140047
31926255,"Whole-cell biocatalysis using cytochrome P450 monooxygenases for biotransformation of sustainable bioresources (fatty acids, fatty alkanes, and aromatic amino acids)","Park H, Park G, Jeon W, Ahn JO, Yang YH, Choi KY.",Biotechnol Adv. 2020 May-Jun;40:107504. doi: 10.1016/j.biotechadv.2020.107504. Epub 2020 Jan 8.,Park H,Biotechnol Adv,2020,2020/1/12,,,10.1016/j.biotechadv.2020.107504
31919943,A Modified Arrhenius Approach to Thermodynamically Study Regioselectivity in Cytochrome P450-Catalyzed Substrate Conversion,"Luirink RA, Verkade-Vreeker MCA, Commandeur JNM, Geerke DP.",Chembiochem. 2020 May 15;21(10):1461-1472. doi: 10.1002/cbic.201900751. Epub 2020 Feb 25.,Luirink RA,Chembiochem,2020,2020/1/11,PMC7318578,,10.1002/cbic.201900751
31911175,Bi-enzymatic virus-like bionanoreactors for the transformation of endocrine disruptor compounds,"González-Davis O, Chauhan K, Zapian-Merino SJ, Vazquez-Duhalt R.",Int J Biol Macromol. 2020 Mar 1;146:415-421. doi: 10.1016/j.ijbiomac.2019.12.272. Epub 2020 Jan 3.,González-Davis O,Int J Biol Macromol,2020,2020/1/9,,,10.1016/j.ijbiomac.2019.12.272
31837525,Cytochrome P450 and flavin-containing monooxygenase enzymes are responsible for differential oxidation of the anti-thyroid-cancer drug vandetanib by human and rat hepatic microsomal systems,"Indra R, Pompach P, Vavrová K, Jáklová K, Heger Z, Adam V, Eckschlager T, Kopečková K, Arlt VM, Stiborová M.",Environ Toxicol Pharmacol. 2020 Feb;74:103310. doi: 10.1016/j.etap.2019.103310. Epub 2019 Dec 3.,Indra R,Environ Toxicol Pharmacol,2020,2019/12/15,,,10.1016/j.etap.2019.103310
31615680,Enzymatic cascade biosynthesis reaction of musky macrolactones from fatty acids,"Meng S, Guo J, Li Z, Nie K, Xu H, Tan T, Liu L.",Enzyme Microb Technol. 2019 Dec;131:109417. doi: 10.1016/j.enzmictec.2019.109417. Epub 2019 Aug 27.,Meng S,Enzyme Microb Technol,2019,2019/10/17,,,10.1016/j.enzmictec.2019.109417
31611634,"An enzymatic platform for the asymmetric amination of primary, secondary and tertiary C(sp(3))-H bonds","Yang Y, Cho I, Qi X, Liu P, Arnold FH.",Nat Chem. 2019 Nov;11(11):987-993. doi: 10.1038/s41557-019-0343-5. Epub 2019 Oct 14.,Yang Y,Nat Chem,2019,2019/10/16,PMC6998391,NIHMS1067744,10.1038/s41557-019-0343-5
31568581,TITAN: A Code for Modeling and Generating Electric Fields-Features and Applications to Enzymatic Reactivity,"Stuyver T, Huang J, Mallick D, Danovich D, Shaik S.",J Comput Chem. 2020 Jan 5;41(1):74-82. doi: 10.1002/jcc.26072. Epub 2019 Sep 30.,Stuyver T,J Comput Chem,2020,2019/10/1,,,10.1002/jcc.26072
31561354,NADPH-cytochrome P450 reductase expression and enzymatic activity in primary-like human hepatocytes and HepG2 cells for in vitro biotransformation studies,"Schulz C, Kammerer S, Küpper JH.",Clin Hemorheol Microcirc. 2019;73(1):249-260. doi: 10.3233/CH-199226.,Schulz C,Clin Hemorheol Microcirc,2019,2019/9/29,PMC6918903,,10.3233/CH-199226
